"variable","class","missing_n","missing_pct"
"SEQN","numeric",0,0
"SDDSRVYR","numeric",0,0
"RIDSTATR","numeric",0,0
"RIAGENDR","numeric",0,0
"RIDAGEYR","numeric",511,4.3
"RIDAGEMN","numeric",11590,97.1
"RIDRETH1","numeric",0,0
"RIDRETH3","numeric",948,7.9
"RIDEXMON","numeric",3073,25.8
"RIDEXAGM","numeric",9198,77.1
"DMQMILIZ","numeric",3633,30.4
"DMDBORN4","numeric",19,0.2
"DMDYRUSR","numeric",10117,84.8
"DMDEDUC2","numeric",4150,34.8
"DMDMARTZ","numeric",4150,34.8
"RIDEXPRG","numeric",10430,87.4
"DMDHHSIZ","numeric",624,5.2
"DMDHRGND","numeric",7818,65.5
"DMDHRAGZ","numeric",7809,65.4
"DMDHREDZ","numeric",8187,68.6
"DMDHRMAZ","numeric",7913,66.3
"DMDHSEDZ","numeric",9806,82.2
"WTINT2YR","numeric",0,0
"WTMEC2YR","numeric",0,0
"SDMVSTRA","integer",0,0
"SDMVPSU","integer",0,0
"INDFMPIR","numeric",2041,17.1
"WTMEC2YR_2YR","numeric",0,0
"WTMEC2YR_4YR","numeric",0,0
"DPQ010","numeric",6435,53.9
"DPQ020","numeric",6425,53.8
"DPQ030","numeric",6424,53.8
"DPQ040","numeric",6427,53.9
"DPQ050","numeric",6423,53.8
"DPQ060","numeric",6428,53.9
"DPQ070","numeric",6428,53.9
"DPQ080","numeric",6437,53.9
"DPQ090","numeric",6432,53.9
"DPQ100","numeric",7773,65.1
"SLQ300","character",3499,29.3
"SLQ310","character",3499,29.3
"SLD012","numeric",5753,48.2
"SLQ320","character",3501,29.3
"SLQ330","character",3502,29.3
"SLD013","numeric",5905,49.5
"PAD790Q","numeric",4322,36.2
"PAD790U","character",5543,46.5
"PAD800","numeric",5546,46.5
"PAD810Q","numeric",3883,32.5
"PAD810U","character",8247,69.1
"PAD820","numeric",8247,69.1
"PAD680","numeric",3797,31.8
"DBQ010","numeric",10498,88
"DBD030","numeric",10824,90.7
"DBD041","numeric",10521,88.2
"DBD050","numeric",10782,90.4
"DBD055","numeric",10496,88
"DBD061","numeric",10577,88.6
"DBQ073A","numeric",11071,92.8
"DBQ073B","numeric",11753,98.5
"DBQ073C","numeric",11867,99.4
"DBQ073D","numeric",11917,99.9
"DBQ073E","numeric",11912,99.8
"DBQ073U","numeric",11851,99.3
"DBQ301","numeric",8433,70.7
"DBQ330","numeric",8434,70.7
"DBQ360","numeric",8578,71.9
"DBQ370","numeric",9174,76.9
"DBD381","numeric",9290,77.9
"DBQ390","numeric",9783,82
"DBQ400","numeric",9257,77.6
"DBD411","numeric",9555,80.1
"DBQ421","numeric",10539,88.3
"DBQ424","numeric",10163,85.2
"DBQ930","numeric",3450,28.9
"DBQ935","numeric",3448,28.9
"DBQ940","numeric",3449,28.9
"DBQ945","numeric",3449,28.9
"WTDRD1","numeric",3073,25.8
"WTDR2D","numeric",5179,43.4
"DR1DRSTZ","numeric",3073,25.8
"DR1EXMER","numeric",5763,48.3
"DRABF","numeric",5199,43.6
"DRDINT","numeric",5179,43.4
"DR1DBIH","numeric",5940,49.8
"DR1DAY","numeric",5686,47.6
"DR1LANG","numeric",5131,43
"DR1MRESP","numeric",5206,43.6
"DR1HELP","numeric",5210,43.7
"DBQ095Z","numeric",5189,43.5
"DBD100","numeric",7201,60.3
"DRQSPREP","numeric",5223,43.8
"DR1STY","numeric",5181,43.4
"DR1SKY","numeric",10742,90
"DRQSDIET","numeric",5175,43.4
"DRQSDT1","numeric",11486,96.3
"DRQSDT2","numeric",11863,99.4
"DRQSDT3","numeric",11837,99.2
"DRQSDT4","numeric",11889,99.6
"DRQSDT5","numeric",11931,100
"DRQSDT6","numeric",11926,99.9
"DRQSDT7","numeric",11933,100
"DRQSDT8","numeric",11906,99.8
"DRQSDT9","numeric",11933,100
"DRQSDT10","numeric",11900,99.7
"DRQSDT11","numeric",11901,99.7
"DRQSDT12","numeric",11920,99.9
"DRQSDT91","numeric",11785,98.8
"DR1TNUMF","numeric",5723,48
"DR1TKCAL","numeric",5242,43.9
"DR1TPROT","numeric",5239,43.9
"DR1TCARB","numeric",5240,43.9
"DR1TSUGR","numeric",5240,43.9
"DR1TFIBE","numeric",5300,44.4
"DR1TTFAT","numeric",5241,43.9
"DR1TSFAT","numeric",5239,43.9
"DR1TMFAT","numeric",5239,43.9
"DR1TPFAT","numeric",5239,43.9
"DR1TCHOL","numeric",5299,44.4
"DR1TATOC","numeric",5253,44
"DR1TATOA","numeric",5240,43.9
"DR1TRET","numeric",5295,44.4
"DR1TVARA","numeric",5254,44
"DR1TACAR","numeric",5508,46.2
"DR1TBCAR","numeric",5266,44.1
"DR1TCRYP","numeric",5511,46.2
"DR1TLYCO","numeric",5283,44.3
"DR1TLZ","numeric",5258,44.1
"DR1TVB1","numeric",5239,43.9
"DR1TVB2","numeric",5239,43.9
"DR1TNIAC","numeric",5239,43.9
"DR1TVB6","numeric",5239,43.9
"DR1TFOLA","numeric",5249,44
"DR1TFA","numeric",5359,44.9
"DR1TFF","numeric",5294,44.4
"DR1TFDFE","numeric",5250,44
"DR1TCHL","numeric",5240,43.9
"DR1TVB12","numeric",5243,43.9
"DR1TB12A","numeric",5241,43.9
"DR1TVC","numeric",5253,44
"DR1TVD","numeric",5279,44.2
"DR1TVK","numeric",5244,43.9
"DR1TCALC","numeric",5252,44
"DR1TPHOS","numeric",5252,44
"DR1TMAGN","numeric",5252,44
"DR1TIRON","numeric",5241,43.9
"DR1TZINC","numeric",5242,43.9
"DR1TCOPP","numeric",5239,43.9
"DR1TSODI","numeric",5239,43.9
"DR1TPOTA","numeric",5244,43.9
"DR1TSELE","numeric",5247,44
"DR1TCAFF","numeric",5373,45
"DR1TTHEO","numeric",5350,44.8
"DR1TALCO","numeric",5243,43.9
"DR1TMOIS","numeric",5239,43.9
"DR1TS040","numeric",5239,43.9
"DR1TS060","numeric",5239,43.9
"DR1TS080","numeric",5239,43.9
"DR1TS100","numeric",5239,43.9
"DR1TS120","numeric",5239,43.9
"DR1TS140","numeric",5239,43.9
"DR1TS160","numeric",5239,43.9
"DR1TS180","numeric",5239,43.9
"DR1TM161","numeric",5239,43.9
"DR1TM181","numeric",5239,43.9
"DR1TM201","numeric",5239,43.9
"DR1TM221","numeric",5239,43.9
"DR1TP182","numeric",5239,43.9
"DR1TP183","numeric",5239,43.9
"DR1TP184","numeric",5239,43.9
"DR1TP204","numeric",5239,43.9
"DR1TP205","numeric",5239,43.9
"DR1TP225","numeric",5239,43.9
"DR1TP226","numeric",5239,43.9
"DR1_300","numeric",5197,43.6
"DR1_320Z","numeric",5180,43.4
"DR1_330Z","numeric",5179,43.4
"DR1BWATZ","numeric",5180,43.4
