"variable","class","missing_n","missing_pct"
"SEQN","numeric",0,0
"SDDSRVYR","numeric",0,0
"RIDSTATR","numeric",0,0
"RIAGENDR","numeric",0,0
"RIDAGEYR","numeric",730,4.7
"RIDAGEMN","numeric",14656,94.2
"RIDRETH1","numeric",0,0
"RIDRETH3","numeric",1019,6.5
"RIDEXMON","numeric",1260,8.1
"DMDBORN4","numeric",7,0
"DMDYRUSZ","numeric",12666,81.4
"DMDEDUC2","numeric",6343,40.8
"DMDMARTZ","numeric",6338,40.7
"RIDEXPRG","numeric",13686,88
"SIALANG","numeric",0,0
"SIAPROXY","numeric",0,0
"SIAINTRP","numeric",0,0
"FIALANG","numeric",1079,6.9
"FIAPROXY","numeric",1079,6.9
"FIAINTRP","numeric",1079,6.9
"MIALANG","numeric",4560,29.3
"MIAPROXY","numeric",4560,29.3
"MIAINTRP","numeric",4560,29.3
"AIALANGA","numeric",7336,47.1
"WTINTPRP","numeric",0,0
"WTMECPRP","numeric",0,0
"SDMVPSU","integer",0,0
"SDMVSTRA","integer",0,0
"INDFMPIR","numeric",2201,14.1
"DPQ010","numeric",7262,46.7
"DPQ020","numeric",7261,46.7
"DPQ030","numeric",7262,46.7
"DPQ040","numeric",7263,46.7
"DPQ050","numeric",7261,46.7
"DPQ060","numeric",7265,46.7
"DPQ070","numeric",7261,46.7
"DPQ080","numeric",7263,46.7
"DPQ090","numeric",7264,46.7
"DPQ100","numeric",10025,64.4
"SLQ300","character",5428,34.9
"SLQ310","character",5430,34.9
"SLD012","numeric",8272,53.2
"SLQ320","character",5429,34.9
"SLQ330","character",5430,34.9
"SLD013","numeric",8451,54.3
"SLQ030","numeric",6080,39.1
"SLQ040","numeric",5892,37.9
"SLQ050","numeric",5373,34.5
"SLQ120","numeric",5385,34.6
"PAQ605","numeric",5874,37.8
"PAQ610","numeric",13410,86.2
"PAD615","numeric",13166,84.6
"PAQ620","numeric",5874,37.8
"PAQ625","numeric",11933,76.7
"PAD630","numeric",11413,73.3
"PAQ635","numeric",5869,37.7
"PAQ640","numeric",13918,89.4
"PAD645","numeric",13324,85.6
"PAQ650","numeric",5867,37.7
"PAQ655","numeric",13254,85.2
"PAD660","numeric",13145,84.5
"PAQ665","numeric",5869,37.7
"PAQ670","numeric",12057,77.5
"PAD675","numeric",11668,75
"PAD680","numeric",5951,38.2
"DBQ010","numeric",12936,83.1
"DBD030","numeric",13520,86.9
"DBD041","numeric",12980,83.4
"DBD050","numeric",13364,85.9
"DBD055","numeric",12933,83.1
"DBD061","numeric",13133,84.4
"DBQ073A","numeric",14140,90.9
"DBQ073B","numeric",15206,97.7
"DBQ073C","numeric",15465,99.4
"DBQ073D","numeric",15546,99.9
"DBQ073E","numeric",15504,99.6
"DBQ073U","numeric",15429,99.2
"DBQ700","numeric",5370,34.5
"DBQ197","numeric",575,3.7
"DBQ223A","numeric",10651,68.5
"DBQ223B","numeric",10820,69.5
"DBQ223C","numeric",14085,90.5
"DBQ223D","numeric",14947,96.1
"DBQ223E","numeric",15267,98.1
"DBQ223U","numeric",14332,92.1
"DBQ229","numeric",6334,40.7
"DBQ235A","numeric",8797,56.5
"DBQ235B","numeric",8768,56.3
"DBQ235C","numeric",8755,56.3
"DBQ301","numeric",12138,78
"DBQ330","numeric",12139,78
"DBQ360","numeric",10958,70.4
"DBQ370","numeric",11714,75.3
"DBD381","numeric",11836,76.1
"DBQ390","numeric",12503,80.4
"DBQ400","numeric",11755,75.5
"DBD411","numeric",12122,77.9
"DBQ421","numeric",13536,87
"DBQ424","numeric",13100,84.2
"DBD895","numeric",1350,8.7
"DBD900","numeric",4226,27.2
"DBD905","numeric",848,5.4
"DBD910","numeric",861,5.5
"CBQ596","numeric",5388,34.6
"CBQ606","numeric",13201,84.8
"CBQ611","numeric",13201,84.8
"DBQ930","numeric",5366,34.5
"DBQ935","numeric",5366,34.5
"DBQ940","numeric",5366,34.5
"DBQ945","numeric",5366,34.5
"WTDRD1PP","numeric",1260,8.1
"WTDR2DPP","numeric",2926,18.8
"DR1DRSTZ","numeric",1260,8.1
"DR1EXMER","numeric",2726,17.5
"DRABF","numeric",2926,18.8
"DRDINT","numeric",2926,18.8
"DR1DBIH","numeric",4062,26.1
"DR1DAY","numeric",5642,36.3
"DR1LANG","numeric",2712,17.4
"DR1MRESP","numeric",3006,19.3
"DR1HELP","numeric",3065,19.7
"DBQ095Z","numeric",2942,18.9
"DBD100","numeric",7371,47.4
"DRQSPREP","numeric",3001,19.3
"DR1STY","numeric",2856,18.4
"DR1SKY","numeric",13680,87.9
"DRQSDIET","numeric",2845,18.3
"DRQSDT1","numeric",14761,94.9
"DRQSDT2","numeric",15414,99.1
"DRQSDT3","numeric",15382,98.9
"DRQSDT4","numeric",15486,99.5
"DRQSDT5","numeric",15557,100
"DRQSDT6","numeric",15554,100
"DRQSDT7","numeric",15560,100
"DRQSDT8","numeric",15514,99.7
"DRQSDT9","numeric",15560,100
"DRQSDT10","numeric",15521,99.7
"DRQSDT11","numeric",15530,99.8
"DRQSDT12","numeric",15543,99.9
"DRQSDT91","numeric",15486,99.5
"DR1TNUMF","numeric",4059,26.1
"DR1TKCAL","numeric",3176,20.4
"DR1TPROT","numeric",3170,20.4
"DR1TCARB","numeric",3169,20.4
"DR1TSUGR","numeric",3171,20.4
"DR1TFIBE","numeric",3265,21
"DR1TTFAT","numeric",3169,20.4
"DR1TSFAT","numeric",3168,20.4
"DR1TMFAT","numeric",3168,20.4
"DR1TPFAT","numeric",3169,20.4
"DR1TCHOL","numeric",3271,21
"DR1TATOC","numeric",3180,20.4
"DR1TATOA","numeric",3169,20.4
"DR1TRET","numeric",3263,21
"DR1TVARA","numeric",3218,20.7
"DR1TACAR","numeric",3513,22.6
"DR1TBCAR","numeric",3224,20.7
"DR1TCRYP","numeric",3669,23.6
"DR1TLYCO","numeric",3268,21
"DR1TLZ","numeric",3216,20.7
"DR1TVB1","numeric",3168,20.4
"DR1TVB2","numeric",3168,20.4
"DR1TNIAC","numeric",3168,20.4
"DR1TVB6","numeric",3168,20.4
"DR1TFOLA","numeric",3194,20.5
"DR1TFA","numeric",3347,21.5
"DR1TFF","numeric",3280,21.1
"DR1TFDFE","numeric",3192,20.5
"DR1TCHL","numeric",3173,20.4
"DR1TVB12","numeric",3175,20.4
"DR1TB12A","numeric",3169,20.4
"DR1TVC","numeric",3204,20.6
"DR1TVD","numeric",3261,21
"DR1TVK","numeric",3186,20.5
"DR1TCALC","numeric",3185,20.5
"DR1TPHOS","numeric",3179,20.4
"DR1TMAGN","numeric",3205,20.6
"DR1TIRON","numeric",3177,20.4
"DR1TZINC","numeric",3181,20.4
"DR1TCOPP","numeric",3168,20.4
"DR1TSODI","numeric",3173,20.4
